"SpatialAssessmentUnit";"Biotic_group";"integ_beat";"number_indicators"
"100kmE36N34";"Seals";0.62;1
"100kmE36N34";"Sediment_type";0.726363636363636;11
"100kmE36N35";"Benthic fauna quality";0.36;1
"100kmE36N35";"Birds";0.530625;32
"100kmE36N35";"Cetaceans";NA;0
"100kmE36N35";"Fish";0.642857142857143;21
"100kmE36N35";"Invertebrate fisheries";0.635;6
"100kmE36N35";"Seals";0.63;2
"100kmE36N36";"Benthic fauna quality";0.36;1
"100kmE36N36";"Birds";0.530625;32
"100kmE36N36";"Cetaceans";NA;0
"100kmE36N36";"Fish";0.642857142857143;21
"100kmE36N36";"Invertebrate fisheries";0.635;6
"100kmE36N36";"Seals";0.64;1
"100kmE36N37";"Benthic fauna quality";0.36;1
"100kmE36N37";"Birds";0.530625;32
"100kmE36N37";"Cetaceans";NA;0
"100kmE36N37";"Fish";0.642857142857143;21
"100kmE36N37";"Invertebrate fisheries";0.635;6
"100kmE36N37";"Seals";0.6;2
"100kmE36N38";"Benthic fauna quality";0.36;1
"100kmE36N38";"Birds";0.530625;32
"100kmE36N38";"Cetaceans";NA;0
"100kmE36N38";"Fish";0.652978723404255;47
"100kmE36N38";"Invertebrate fisheries";0.6775;12
"100kmE36N38";"Seals";0.56;1
"100kmE36N39";"Benthic fauna quality";0.36;1
"100kmE36N39";"Birds";0.530625;32
"100kmE36N39";"Cetaceans";NA;0
"100kmE36N39";"Fish";0.661153846153846;26
"100kmE36N39";"Invertebrate fisheries";0.72;6
"100kmE36N39";"Seals";0.566666666666667;3
"100kmE36N40";"Benthic fauna quality";0.36;1
"100kmE36N40";"Birds";0.530625;32
"100kmE36N40";"Cetaceans";NA;0
"100kmE36N40";"Fish";0.661153846153846;26
"100kmE36N40";"Invertebrate fisheries";0.72;6
"100kmE36N40";"Seals";0.55;1
"100kmE37N31";"Benthic fauna quality";0.485;2
"100kmE37N31";"Birds";0.530625;32
"100kmE37N31";"Cetaceans";NA;0
"100kmE37N31";"Fish";0.642857142857143;21
"100kmE37N31";"Seals";0.6625;4
"100kmE37N31";"Sediment_type";0.620526315789474;19
"100kmE37N32";"Benthic fauna quality";0.47;1
"100kmE37N32";"Birds";0.530625;32
"100kmE37N32";"Cetaceans";NA;0
"100kmE37N32";"Fish";0.642857142857143;21
"100kmE37N32";"Seals";0.645;2
"100kmE37N32";"Sediment_type";0.620526315789474;19
"100kmE37N33";"Benthic fauna quality";0.47;1
"100kmE37N33";"Birds";0.530625;32
"100kmE37N33";"Cetaceans";NA;0
"100kmE37N33";"Fish";0.642857142857143;21
"100kmE37N33";"Seals";0.62;1
"100kmE37N33";"Sediment_type";0.726363636363636;11
"100kmE37N34";"Benthic fauna quality";0.415;2
"100kmE37N34";"Birds";0.530625;32
"100kmE37N34";"Cetaceans";NA;0
"100kmE37N34";"Fish";0.642857142857143;42
"100kmE37N34";"Invertebrate fisheries";0.635;6
"100kmE37N34";"Seals";0.62;1
"100kmE37N34";"Sediment_type";0.726363636363636;11
"100kmE37N35";"Benthic fauna quality";0.415;2
"100kmE37N35";"Birds";0.530625;32
"100kmE37N35";"Cetaceans";NA;0
"100kmE37N35";"Fish";0.642857142857143;21
"100kmE37N35";"Invertebrate fisheries";0.635;6
"100kmE37N35";"Seals";0.63;2
"100kmE37N35";"Sediment_type";0.726363636363636;11
"100kmE37N36";"Benthic fauna quality";0.415;2
"100kmE37N36";"Birds";0.530625;32
"100kmE37N36";"Cetaceans";NA;0
"100kmE37N36";"Fish";0.642857142857143;21
"100kmE37N36";"Invertebrate fisheries";0.635;6
"100kmE37N36";"Sediment_type";0.726363636363636;11
"100kmE37N37";"Benthic fauna quality";0.36;1
"100kmE37N37";"Birds";0.530625;32
"100kmE37N37";"Cetaceans";NA;0
"100kmE37N37";"Fish";0.642857142857143;21
"100kmE37N37";"Invertebrate fisheries";0.635;6
"100kmE37N38";"Benthic fauna quality";0.36;1
"100kmE37N38";"Birds";0.530625;32
"100kmE37N38";"Cetaceans";NA;0
"100kmE37N38";"Fish";0.652978723404255;47
"100kmE37N38";"Invertebrate fisheries";0.6775;12
"100kmE37N39";"Benthic fauna quality";0.36;1
"100kmE37N39";"Birds";0.530625;32
"100kmE37N39";"Cetaceans";NA;0
"100kmE37N39";"Fish";0.661153846153846;26
"100kmE37N39";"Invertebrate fisheries";0.72;6
"100kmE37N40";"Benthic fauna quality";0.36;1
"100kmE37N40";"Birds";0.530625;32
"100kmE37N40";"Cetaceans";NA;0
"100kmE37N40";"Fish";0.661153846153846;26
"100kmE37N40";"Invertebrate fisheries";0.72;6
"100kmE37N40";"Seals";0.55;1
"100kmE37N41";"Benthic fauna quality";0.36;1
"100kmE37N41";"Birds";0.530625;32
"100kmE37N41";"Cetaceans";NA;0
"100kmE37N41";"Fish";0.661153846153846;26
"100kmE37N41";"Invertebrate fisheries";0.72;6
"100kmE38N31";"Benthic fauna quality";0.47;1
"100kmE38N31";"Birds";0.530625;32
"100kmE38N31";"Cetaceans";NA;0
"100kmE38N31";"Fish";0.642857142857143;21
"100kmE38N31";"Seals";0.67;1
"100kmE38N31";"Sediment_type";0.5984;25
"100kmE38N32";"Benthic fauna quality";0.426428571428571;14
"100kmE38N32";"Birds";0.530625;32
"100kmE38N32";"Cetaceans";1;1
"100kmE38N32";"Fish";0.642857142857143;21
"100kmE38N32";"Pelagic";0.34;1
"100kmE38N32";"Phytoplankton";NA;0
"100kmE38N32";"Seals";0.64;3
"100kmE38N32";"Sediment_type";0.6375;36
"100kmE38N32";"Zooplankton";0.04;1
"100kmE38N33";"Benthic fauna quality";0.426428571428571;14
"100kmE38N33";"Birds";0.530625;32
"100kmE38N33";"Cetaceans";1;1
"100kmE38N33";"Fish";0.642857142857143;42
"100kmE38N33";"Invertebrate fisheries";0.635;6
"100kmE38N33";"Pelagic";0.34;1
"100kmE38N33";"Phytoplankton";NA;0
"100kmE38N33";"Seals";0.64;3
"100kmE38N33";"Sediment_type";0.683928571428571;28
"100kmE38N33";"Zooplankton";0.04;1
"100kmE38N34";"Benthic fauna quality";0.426428571428571;14
"100kmE38N34";"Birds";0.530625;32
"100kmE38N34";"Cetaceans";1;1
"100kmE38N34";"Fish";0.642857142857143;42
"100kmE38N34";"Invertebrate fisheries";0.635;6
"100kmE38N34";"Pelagic";0.34;1
"100kmE38N34";"Phytoplankton";NA;0
"100kmE38N34";"Sediment_type";0.683928571428571;28
"100kmE38N34";"Zooplankton";0.04;1
"100kmE38N35";"Benthic fauna quality";0.426428571428571;14
"100kmE38N35";"Birds";0.530625;32
"100kmE38N35";"Cetaceans";1;1
"100kmE38N35";"Fish";0.642857142857143;21
"100kmE38N35";"Invertebrate fisheries";0.635;6
"100kmE38N35";"Pelagic";0.34;1
"100kmE38N35";"Phytoplankton";NA;0
"100kmE38N35";"Sediment_type";0.683928571428571;28
"100kmE38N35";"Zooplankton";0.04;1
"100kmE38N36";"Benthic fauna quality";0.422;15
"100kmE38N36";"Birds";0.530625;32
"100kmE38N36";"Cetaceans";1;1
"100kmE38N36";"Fish";0.642857142857143;21
"100kmE38N36";"Invertebrate fisheries";0.635;6
"100kmE38N36";"Pelagic";0.34;1
"100kmE38N36";"Phytoplankton";NA;0
"100kmE38N36";"Sediment_type";0.683928571428571;28
"100kmE38N36";"Zooplankton";0.04;1
"100kmE38N37";"Benthic fauna quality";0.36;1
"100kmE38N37";"Birds";0.530625;32
"100kmE38N37";"Cetaceans";NA;0
"100kmE38N37";"Fish";0.642857142857143;21
"100kmE38N37";"Invertebrate fisheries";0.635;6
"100kmE38N38";"Benthic fauna quality";0.36;1
"100kmE38N38";"Birds";0.530625;32
"100kmE38N38";"Cetaceans";NA;0
"100kmE38N38";"Fish";0.652978723404255;47
"100kmE38N38";"Invertebrate fisheries";0.6775;12
"100kmE38N39";"Benthic fauna quality";0.36;1
"100kmE38N39";"Birds";0.530625;32
"100kmE38N39";"Cetaceans";NA;0
"100kmE38N39";"Fish";0.661153846153846;26
"100kmE38N39";"Invertebrate fisheries";0.72;6
"100kmE38N40";"Benthic fauna quality";0.36;1
"100kmE38N40";"Birds";0.530625;32
"100kmE38N40";"Cetaceans";NA;0
"100kmE38N40";"Fish";0.661153846153846;26
"100kmE38N40";"Invertebrate fisheries";0.72;6
"100kmE38N41";"Benthic fauna quality";0.36;1
"100kmE38N41";"Birds";0.530625;32
"100kmE38N41";"Cetaceans";NA;0
"100kmE38N41";"Fish";0.661153846153846;26
"100kmE38N41";"Invertebrate fisheries";0.72;6
"100kmE38N42";"Benthic fauna quality";0.36;1
"100kmE38N42";"Birds";0.530625;32
"100kmE38N42";"Cetaceans";NA;0
"100kmE38N42";"Fish";0.661153846153846;26
"100kmE38N42";"Invertebrate fisheries";0.72;6
"100kmE39N32";"Benthic fauna quality";0.426428571428571;14
"100kmE39N32";"Birds";0.530625;32
"100kmE39N32";"Cetaceans";1;1
"100kmE39N32";"Fish";0.642857142857143;21
"100kmE39N32";"Pelagic";0.34;1
"100kmE39N32";"Phytoplankton";NA;0
"100kmE39N32";"Seals";0.65;2
"100kmE39N32";"Sediment_type";0.656470588235294;17
"100kmE39N32";"Zooplankton";0.04;1
"100kmE39N33";"Benthic fauna quality";0.426428571428571;14
"100kmE39N33";"Birds";0.530625;32
"100kmE39N33";"Cetaceans";1;1
"100kmE39N33";"Fish";0.642857142857143;42
"100kmE39N33";"Invertebrate fisheries";0.635;6
"100kmE39N33";"Pelagic";0.34;1
"100kmE39N33";"Phytoplankton";NA;0
"100kmE39N33";"Seals";0.63;1
"100kmE39N33";"Sediment_type";0.656470588235294;17
"100kmE39N33";"Zooplankton";0.04;1
"100kmE39N34";"Benthic fauna quality";0.426428571428571;14
"100kmE39N34";"Birds";0.530625;32
"100kmE39N34";"Cetaceans";1;1
"100kmE39N34";"Fish";0.642857142857143;21
"100kmE39N34";"Invertebrate fisheries";0.635;6
"100kmE39N34";"Pelagic";0.34;1
"100kmE39N34";"Phytoplankton";NA;0
"100kmE39N34";"Seals";0.63;1
"100kmE39N34";"Sediment_type";0.656470588235294;17
"100kmE39N34";"Zooplankton";0.04;1
"100kmE39N35";"Benthic fauna quality";0.426428571428571;14
"100kmE39N35";"Birds";0.530625;32
"100kmE39N35";"Cetaceans";1;1
"100kmE39N35";"Fish";0.642857142857143;21
"100kmE39N35";"Invertebrate fisheries";0.635;6
"100kmE39N35";"Pelagic";0.34;1
"100kmE39N35";"Phytoplankton";NA;0
"100kmE39N35";"Sediment_type";0.640952380952381;42
"100kmE39N35";"Zooplankton";0.04;1
"100kmE39N36";"Benthic fauna quality";0.422;15
"100kmE39N36";"Birds";0.530625;32
"100kmE39N36";"Cetaceans";1;1
"100kmE39N36";"Fish";0.642857142857143;21
"100kmE39N36";"Invertebrate fisheries";0.635;6
"100kmE39N36";"Pelagic";0.34;1
"100kmE39N36";"Phytoplankton";NA;0
"100kmE39N36";"Sediment_type";0.658679245283019;53
"100kmE39N36";"Zooplankton";0.04;1
"100kmE39N37";"Benthic fauna quality";0.415;2
"100kmE39N37";"Birds";0.530625;32
"100kmE39N37";"Cetaceans";NA;0
"100kmE39N37";"Fish";0.642857142857143;21
"100kmE39N37";"Invertebrate fisheries";0.635;6
"100kmE39N38";"Benthic fauna quality";0.36;1
"100kmE39N38";"Birds";0.530625;32
"100kmE39N38";"Cetaceans";NA;0
"100kmE39N38";"Fish";0.652978723404255;47
"100kmE39N38";"Invertebrate fisheries";0.6775;12
"100kmE39N39";"Benthic fauna quality";0.36;1
"100kmE39N39";"Birds";0.530625;32
"100kmE39N39";"Cetaceans";NA;0
"100kmE39N39";"Fish";0.661153846153846;26
"100kmE39N39";"Invertebrate fisheries";0.72;6
"100kmE39N40";"Benthic fauna quality";0.36;1
"100kmE39N40";"Birds";0.530625;32
"100kmE39N40";"Cetaceans";NA;0
"100kmE39N40";"Fish";0.661153846153846;26
"100kmE39N40";"Invertebrate fisheries";0.72;6
"100kmE39N41";"Benthic fauna quality";0.36;1
"100kmE39N41";"Birds";0.530625;32
"100kmE39N41";"Cetaceans";NA;0
"100kmE39N41";"Fish";0.661153846153846;26
"100kmE39N41";"Invertebrate fisheries";0.72;6
"100kmE39N42";"Benthic fauna quality";0.36;1
"100kmE39N42";"Birds";0.530625;32
"100kmE39N42";"Cetaceans";NA;0
"100kmE39N42";"Fish";0.661153846153846;26
"100kmE39N42";"Invertebrate fisheries";0.72;6
"100kmE40N34";"Benthic fauna quality";0.426428571428571;14
"100kmE40N34";"Birds";0.530625;32
"100kmE40N34";"Cetaceans";1;1
"100kmE40N34";"Fish";0.642857142857143;21
"100kmE40N34";"Invertebrate fisheries";0.635;6
"100kmE40N34";"Pelagic";0.34;1
"100kmE40N34";"Phytoplankton";NA;0
"100kmE40N34";"Seals";0.63;1
"100kmE40N34";"Sediment_type";0.640952380952381;42
"100kmE40N34";"Zooplankton";0.04;1
"100kmE40N35";"Benthic fauna quality";0.47;1
"100kmE40N35";"Birds";0.530625;32
"100kmE40N35";"Cetaceans";NA;0
"100kmE40N35";"Fish";0.642857142857143;21
"100kmE40N35";"Invertebrate fisheries";0.635;6
"100kmE40N35";"Sediment_type";0.640952380952381;42
"100kmE40N36";"Benthic fauna quality";0.47;1
"100kmE40N36";"Birds";0.530625;32
"100kmE40N36";"Cetaceans";NA;0
"100kmE40N36";"Fish";0.642857142857143;21
"100kmE40N36";"Invertebrate fisheries";0.635;6
"100kmE40N36";"Sediment_type";0.6304;25
"100kmE40N37";"Benthic fauna quality";0.415;2
"100kmE40N37";"Birds";0.530625;32
"100kmE40N37";"Cetaceans";NA;0
"100kmE40N37";"Fish";0.642857142857143;21
"100kmE40N37";"Invertebrate fisheries";0.635;6
"100kmE40N38";"Benthic fauna quality";0.36;1
"100kmE40N38";"Birds";0.530625;32
"100kmE40N38";"Cetaceans";NA;0
"100kmE40N38";"Fish";0.652978723404255;47
"100kmE40N38";"Invertebrate fisheries";0.6775;12
"100kmE40N39";"Benthic fauna quality";0.36;1
"100kmE40N39";"Birds";0.530625;32
"100kmE40N39";"Cetaceans";NA;0
"100kmE40N39";"Fish";0.661153846153846;26
"100kmE40N39";"Invertebrate fisheries";0.72;6
"100kmE40N40";"Benthic fauna quality";0.36;1
"100kmE40N40";"Birds";0.530625;32
"100kmE40N40";"Cetaceans";NA;0
"100kmE40N40";"Fish";0.661153846153846;26
"100kmE40N40";"Invertebrate fisheries";0.72;6
"100kmE40N41";"Benthic fauna quality";0.36;1
"100kmE40N41";"Birds";0.530625;32
"100kmE40N41";"Cetaceans";NA;0
"100kmE40N41";"Fish";0.661153846153846;26
"100kmE40N41";"Invertebrate fisheries";0.72;6
"100kmE40N42";"Benthic fauna quality";0.36;1
"100kmE40N42";"Birds";0.530625;32
"100kmE40N42";"Cetaceans";NA;0
"100kmE40N42";"Fish";0.661153846153846;26
"100kmE40N42";"Invertebrate fisheries";0.72;6
"100kmE41N34";"Benthic fauna quality";0.47;1
"100kmE41N34";"Birds";0.530625;32
"100kmE41N34";"Cetaceans";NA;0
"100kmE41N34";"Fish";0.642857142857143;21
"100kmE41N34";"Invertebrate fisheries";0.635;6
"100kmE41N34";"Seals";0.63;1
"100kmE41N34";"Sediment_type";0.6304;25
"100kmE41N35";"Benthic fauna quality";0.47;1
"100kmE41N35";"Birds";0.530625;32
"100kmE41N35";"Cetaceans";NA;0
"100kmE41N35";"Fish";0.642857142857143;21
"100kmE41N35";"Invertebrate fisheries";0.635;6
"100kmE41N35";"Seals";0.63;1
"100kmE41N35";"Sediment_type";0.6304;25
"100kmE41N36";"Benthic fauna quality";0.47;1
"100kmE41N36";"Birds";0.530625;32
"100kmE41N36";"Cetaceans";NA;0
"100kmE41N36";"Fish";0.642857142857143;21
"100kmE41N36";"Invertebrate fisheries";0.635;6
"100kmE41N36";"Seals";0.62;2
"100kmE41N37";"Benthic fauna quality";0.415;2
"100kmE41N37";"Birds";0.530625;32
"100kmE41N37";"Cetaceans";NA;0
"100kmE41N37";"Fish";0.642857142857143;21
"100kmE41N37";"Invertebrate fisheries";0.635;6
"100kmE41N37";"Seals";0.61;1
"100kmE41N38";"Benthic fauna quality";0.36;1
"100kmE41N38";"Birds";0.553414634146342;41
"100kmE41N38";"Cetaceans";NA;0
"100kmE41N38";"Fish";0.646376811594203;69
"100kmE41N38";"Invertebrate fisheries";0.68;14
"100kmE41N38";"Seals";0.61;1
"100kmE42N37";"Benthic fauna quality";0.415;2
"100kmE42N37";"Birds";0.553414634146342;41
"100kmE42N37";"Cetaceans";NA;0
"100kmE42N37";"Fish";0.637441860465116;43
"100kmE42N37";"Invertebrate fisheries";0.65;8
"100kmE42N37";"Seals";0.61;1
"100kmE42N38";"Benthic fauna quality";0.415;2
"100kmE42N38";"Birds";0.553414634146342;41
"100kmE42N38";"Cetaceans";NA;0
"100kmE42N38";"Fish";0.637441860465116;43
"100kmE42N38";"Invertebrate fisheries";0.65;8
"100kmE42N38";"Seals";0.61;1
"100kmE42N39";"Benthic fauna quality";0.36;1
"100kmE42N39";"Birds";0.553414634146342;41
"100kmE42N39";"Cetaceans";NA;0
"100kmE42N39";"Fish";0.632272727272727;22
"100kmE42N39";"Invertebrate fisheries";0.695;2
"100kmE43N37";"Benthic fauna quality";0.57;2
"100kmE43N37";"Birds";0.553414634146342;41
"100kmE43N37";"Cetaceans";0.88;1
"100kmE43N37";"Chlorophyll A";0.426666666666667;6
"100kmE43N37";"Fish";0.624347826086956;23
"100kmE43N37";"Invertebrate fisheries";0.695;2
"100kmE43N37";"Macrophytes";0.265;2
"100kmE43N37";"Seals";0.74;6
"100kmE43N38";"Benthic fauna quality";0.36;1
"100kmE43N38";"Birds";0.553414634146342;41
"100kmE43N38";"Cetaceans";0.88;1
"100kmE43N38";"Chlorophyll A";0.426666666666667;6
"100kmE43N38";"Fish";0.632272727272727;44
"100kmE43N38";"Invertebrate fisheries";0.695;4
"100kmE43N38";"Seals";0.721428571428571;7
"100kmE43N39";"Benthic fauna quality";0.36;1
"100kmE43N39";"Birds";0.553414634146342;41
"100kmE43N39";"Cetaceans";NA;0
"100kmE43N39";"Fish";0.632272727272727;22
"100kmE43N39";"Invertebrate fisheries";0.695;2
"100kmE43N39";"Seals";0.61;1
"100kmE44N35";"Birds";0.634444444444444;9
"100kmE44N35";"Fish";0.505;10
"100kmE44N35";"Phytoplankton";0.56;1
"100kmE44N35";"Seals";0.525833333333333;12
"100kmE44N36";"Birds";0.553414634146342;41
"100kmE44N36";"Cetaceans";0.88;1
"100kmE44N36";"Chlorophyll A";0.426666666666667;6
"100kmE44N36";"Fish";0.632272727272727;22
"100kmE44N36";"Invertebrate fisheries";0.695;2
"100kmE44N36";"Seals";0.74;6
"100kmE44N37";"Birds";0.553414634146342;41
"100kmE44N37";"Cetaceans";0.88;1
"100kmE44N37";"Chlorophyll A";0.426666666666667;6
"100kmE44N37";"Fish";0.632272727272727;22
"100kmE44N37";"Invertebrate fisheries";0.695;2
"100kmE44N37";"Seals";0.74;6
"100kmE45N34";"Birds";0.634444444444444;9
"100kmE45N34";"Fish";0.505;10
"100kmE45N34";"Oxygen";0.3;1
"100kmE45N34";"Phytoplankton";0.555;2
"100kmE45N34";"Seals";0.59;25
"100kmE45N35";"Birds";0.634444444444444;9
"100kmE45N35";"Fish";0.505;10
"100kmE45N35";"Oxygen";0.3;1
"100kmE45N35";"Phytoplankton";0.555;2
"100kmE45N35";"Seals";0.59;25
"100kmE46N34";"Birds";0.634444444444444;9
"100kmE46N34";"Fish";0.525;14
"100kmE46N34";"Oxygen";0.3;1
"100kmE46N34";"Phytoplankton";0.55;1
"100kmE46N34";"Seals";0.649230769230769;13
"100kmE46N35";"Birds";0.634444444444444;9
"100kmE46N35";"Fish";0.525;14
"100kmE46N35";"Oxygen";0.3;1
"100kmE46N35";"Phytoplankton";0.555;2
"100kmE46N35";"Seals";0.59;25
"100kmE46N36";"Birds";0.634444444444444;9
"100kmE46N36";"Fish";0.575;4
"100kmE46N36";"Oxygen";0.3;1
"100kmE46N36";"Phytoplankton";0.55;1
"100kmE46N36";"Seals";0.649230769230769;13
"100kmE47N35";"Benthic fauna quality";0.72;1
"100kmE47N35";"Birds";0.634444444444444;9
"100kmE47N35";"Chlorophyll A";0.33;1
"100kmE47N35";"Fish";0.575;4
"100kmE47N35";"Oxygen";0.35;2
"100kmE47N35";"Phytoplankton";0.545;2
"100kmE47N35";"Seals";0.655714285714286;21
"100kmE47N36";"Benthic fauna quality";0.69;3
"100kmE47N36";"Birds";0.634444444444444;9
"100kmE47N36";"Chlorophyll A";0.433333333333333;3
"100kmE47N36";"Fish";0.685714285714286;7
"100kmE47N36";"Macrophytes";0.76;1
"100kmE47N36";"Oxygen";0.4375;4
"100kmE47N36";"Phytoplankton";0.543333333333333;3
"100kmE47N36";"Seals";0.653235294117647;34
"100kmE47N36";"Secchi";0.51;1
"100kmE47N37";"Benthic fauna quality";0.67;2
"100kmE47N37";"Birds";0.634444444444444;9
"100kmE47N37";"Chlorophyll A";0.33;2
"100kmE47N37";"Fish";0.575;8
"100kmE47N37";"Oxygen";0.366666666666667;3
"100kmE47N37";"Phytoplankton";0.543333333333333;3
"100kmE47N37";"Seals";0.653235294117647;34
"100kmE47N38";"Benthic fauna quality";0.675;2
"100kmE47N38";"Birds";0.634444444444444;9
"100kmE47N38";"Chlorophyll A";0.485;2
"100kmE47N38";"Fish";0.54375;8
"100kmE47N38";"Macrophytes";0.76;1
"100kmE47N38";"Oxygen";0.525;2
"100kmE47N38";"Phytoplankton";0.54;1
"100kmE47N38";"Seals";0.649230769230769;13
"100kmE47N38";"Secchi";0.51;1
"100kmE47N39";"Benthic fauna quality";0.655;2
"100kmE47N39";"Birds";0.634444444444444;9
"100kmE47N39";"Chlorophyll A";0.27;2
"100kmE47N39";"Fish";0.575;4
"100kmE47N39";"Oxygen";0.4;2
"100kmE47N39";"Phytoplankton";0.445;2
"100kmE47N39";"Seals";0.606153846153846;26
"100kmE47N39";"Zooplankton";0.42;1
"100kmE47N42";"Benthic fauna quality";0.7;1
"100kmE47N42";"Birds";0.634444444444444;9
"100kmE47N42";"Chlorophyll A";0.34;1
"100kmE47N42";"Fish";0.593333333333333;6
"100kmE47N42";"Phytoplankton";0.38;1
"100kmE47N42";"Seals";0.612307692307692;13
"100kmE47N42";"Zooplankton";0.68;1
"100kmE47N43";"Benthic fauna quality";0.7;1
"100kmE47N43";"Birds";0.634444444444444;9
"100kmE47N43";"Chlorophyll A";0.34;1
"100kmE47N43";"Fish";0.593333333333333;6
"100kmE47N43";"Phytoplankton";0.38;1
"100kmE47N43";"Seals";0.612307692307692;13
"100kmE47N43";"Zooplankton";0.68;1
"100kmE47N44";"Benthic fauna quality";0.7;1
"100kmE47N44";"Birds";0.634444444444444;9
"100kmE47N44";"Chlorophyll A";0.34;1
"100kmE47N44";"Fish";0.593333333333333;6
"100kmE47N44";"Phytoplankton";0.38;1
"100kmE47N44";"Seals";0.612307692307692;13
"100kmE47N44";"Zooplankton";0.68;1
"100kmE48N35";"Benthic fauna quality";0.72;1
"100kmE48N35";"Birds";0.634444444444444;9
"100kmE48N35";"Chlorophyll A";0.33;1
"100kmE48N35";"Fish";0.575;8
"100kmE48N35";"Oxygen";0.4;1
"100kmE48N35";"Phytoplankton";0.54;1
"100kmE48N35";"Seals";0.66625;8
"100kmE48N36";"Benthic fauna quality";0.72;1
"100kmE48N36";"Birds";0.634444444444444;9
"100kmE48N36";"Chlorophyll A";0.33;1
"100kmE48N36";"Fish";0.575;8
"100kmE48N36";"Oxygen";0.4;1
"100kmE48N36";"Phytoplankton";0.54;1
"100kmE48N36";"Seals";0.66625;8
"100kmE48N37";"Benthic fauna quality";0.67;2
"100kmE48N37";"Birds";0.634444444444444;9
"100kmE48N37";"Chlorophyll A";0.33;2
"100kmE48N37";"Fish";0.575;16
"100kmE48N37";"Oxygen";0.4;2
"100kmE48N37";"Phytoplankton";0.54;2
"100kmE48N37";"Seals";0.655714285714286;21
"100kmE48N38";"Benthic fauna quality";0.72;1
"100kmE48N38";"Birds";0.634444444444444;9
"100kmE48N38";"Chlorophyll A";0.33;1
"100kmE48N38";"Fish";0.575;4
"100kmE48N38";"Oxygen";0.4;1
"100kmE48N38";"Phytoplankton";0.54;1
"100kmE48N38";"Seals";0.66625;8
"100kmE48N39";"Benthic fauna quality";0.676666666666667;3
"100kmE48N39";"Birds";0.634444444444444;9
"100kmE48N39";"Chlorophyll A";0.29;3
"100kmE48N39";"Fish";0.575;12
"100kmE48N39";"Oxygen";0.4;3
"100kmE48N39";"Phytoplankton";0.476666666666667;3
"100kmE48N39";"Seals";0.620294117647059;34
"100kmE48N39";"Zooplankton";0.42;1
"100kmE48N40";"Benthic fauna quality";0.69;1
"100kmE48N40";"Birds";0.634444444444444;9
"100kmE48N40";"Chlorophyll A";0.21;1
"100kmE48N40";"Fish";0.575;8
"100kmE48N40";"Oxygen";0.4;1
